tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,neg,neu,pos,compound
But this was really nice #Barchie https://t.co/vpydwqrxuA,False,en,2455,278,2021-02-25 01:55:08,1364755777777401856,"['really', 'nice', 'barchie']",really nice barchie,0.0,0.66,0.34,0.4754
i need the riverdale writers to understand that nobody wants to see v*rchie. i want to see BARCHIE. BETTY AND ARCHIE. BETTY COOPER. ARCHIE ANDREWS. ELIZABETH AND ARCHIBALD. https://t.co/9QNmzcOSZA,False,en,999,145,2021-02-25 02:31:36,1364764958483963906,"['need', 'riverdale', 'writers', 'understand', 'nobody', 'wants', 'see', 'v', 'rchie', 'want', 'see', 'barchie', 'betty', 'archie', 'betty', 'cooper', 'archie', 'andrews', 'elizabeth', 'archibald']",need riverdale writers understand nobody wants see v rchie want see barchie betty archie betty cooper archie andrews elizabeth archibald,0.0,0.9520000000000001,0.048,0.0772
“A little part of me always thought” #Riverdale #Barchie https://t.co/tmcRlWHgUa,False,en,832,108,2021-02-25 02:14:35,1364760675197853699,"['little', 'part', 'always', 'thought', 'riverdale', 'barchie']",little part always thought riverdale barchie,0.0,1.0,0.0,0.0
THEY USED THE IF YOU LOVE ME THEME THE SAME AS IN THE PILOT PORCH SCENE FOR BARCHIES PORCH KISS THIS EPISODE #riverdale #barchie https://t.co/O0aeU0sHB6,False,en,827,204,2021-02-25 01:53:03,1364755255859240960,"['used', 'love', 'theme', 'pilot', 'porch', 'scene', 'barchies', 'porch', 'kiss', 'episode', 'riverdale', 'barchie']",used love theme pilot porch scene barchies porch kiss episode riverdale barchie,0.0,0.731,0.26899999999999996,0.8579
"The way he pulled her in by her jacket 🥺
[5.06 - Chapter Eighty-Two: Back To School]
@lilireinhart @RiverdaleWriter @WriterRAS
#Barchie #Riverdale https://t.co/f98YOsPWf9",False,en,821,134,2021-02-25 03:52:42,1364785368084619264,"['way', 'pulled', 'jacket', '5', '06', 'chapter', 'eighty', 'two', 'back', 'school', 'barchie', 'riverdale']",way pulled jacket 5 06 chapter eighty two back school barchie riverdale,0.0,1.0,0.0,0.0
