tweets,quote_status,language,favorite_count,retweet_count,time,id,neg,neu,pos,compound,processed_text,cleaned_tweets
"my sister is trying to explain time jump Riverdale to me and just said, and I quote, ""do you remember the Ghoulies? they were all on Jingle Jangle?""",False,en,147,5,2021-02-25 21:05:07,1365045184107528202,0.00,1.00,0.00,0.0,"['sister', 'trying', 'explain', 'time', 'jump', 'riverdale', 'said', 'quote', 'remember', 'ghoulies', 'jingle', 'jangle']",sister trying explain time jump riverdale said quote remember ghoulies jingle jangle
"talk shit on riverdale all you want but they’re doing really good with adult choni after the 7 year time jump madelaine and vanessa have made them come so far as a couple the parallels, the angst, the exes still in love, the pining, the star crossed lovers trope i’m eating it up",False,en,71,8,2021-02-25 05:42:43,1364813053741707265,0.04,0.72,0.25,0.9386,"['talk', 'shit', 'riverdale', 'want', 'really', 'good', 'adult', 'choni', '7', 'year', 'time', 'jump', 'madelaine', 'vanessa', 'made', 'come', 'far', 'couple', 'parallels', 'angst', 'exes', 'still', 'love', 'pining', 'star', 'crossed', 'lovers', 'trope', 'eating']",talk shit riverdale want really good adult choni 7 year time jump madelaine vanessa made come far couple parallels angst exes still love pining star crossed lovers trope eating
my favorite thing about watching riverdale has always been listening to the podcasts ab the eps after but ever since the time jump they just stress me out bc i can’t stand hearing any type of barchie slander. so what do i do now...,False,en,36,0,2021-03-03 20:51:38,1367216114808291337,0.08,0.88,0.04,-0.4019,"['favorite', 'thing', 'watching', 'riverdale', 'always', 'listening', 'podcasts', 'ab', 'eps', 'ever', 'since', 'time', 'jump', 'stress', 'bc', 'stand', 'hearing', 'type', 'barchie', 'slander']",favorite thing watching riverdale always listening podcasts ab eps ever since time jump stress bc stand hearing type barchie slander
"time to check in on riverdale
https://t.co/xg4sGhSVqV",False,en,33,5,2021-03-02 18:23:26,1366816433041272850,0.00,1.00,0.00,0.0,"['time', 'check', 'riverdale']",time check riverdale
"After a seven-year time jump on Riverdale, FBI agent Betty Cooper is working on the Trash Bag Killer case (aka the TBK), struggling novelist Jughead is looking for the Mothman, and mayor Hiram Lodge is running the entire town into the ground while enjoying some Doritos. https://t.co/Mo7X1q6Fel",False,en,29,2,2021-02-26 01:56:54,1365118613288534019,0.13,0.80,0.06,-0.5719,"['seven', 'year', 'time', 'jump', 'riverdale', 'fbi', 'agent', 'betty', 'cooper', 'working', 'trash', 'bag', 'killer', 'case', 'aka', 'tbk', 'struggling', 'novelist', 'jughead', 'looking', 'mothman', 'mayor', 'hiram', 'lodge', 'running', 'entire', 'town', 'ground', 'enjoying', 'doritos']",seven year time jump riverdale fbi agent betty cooper working trash bag killer case aka tbk struggling novelist jughead looking mothman mayor hiram lodge running entire town ground enjoying doritos
