tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets,polarity,subjectivity
"RT @bettyandarchie4: If you are worried about barchie only being set up because they are gonna do varchie exes to lovers , read this!! http…",False,en,0,1,2021-02-27 05:19:52,1365532079258222592,"{'neg': 0.078, 'neu': 0.781, 'pos': 0.141, 'compound': 0.4184}","['worried', 'barchie', 'set', 'gonna', 'varchie', 'exes', 'lovers', 'read']",worried barchie set gonna varchie exes lovers read,0.0,1.0
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,557,2021-02-27 05:07:56,1365529076820307969,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.5461}","['vote', 'riverdale', 'time', 'jump', 'archie', 'amp', 'betty', 'like', 'archie', 'amp', 'veronica', 'barchie', 'riverdale', 'varchie']",vote riverdale time jump archie amp betty like archie amp veronica barchie riverdale varchie,0.0,0.0
"RT @vcrchies: COME BACK TO ME, VARCHIE. YOUR STORY ISNT OVER YET. https://t.co/LRyowgNrnJ",False,en,0,4,2021-02-27 04:37:46,1365521485029326849,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['come', 'back', 'varchie', 'story', 'isnt', 'yet']",come back varchie story isnt yet,0.0,0.0
"I'm rewatching some #bughead scenes and I'm kinda very soft for it??? Ugh now I genuinely can't pick which ship I prefer

Actually, I think I'd be happy with either barchie or bughead. I guess is all I really don't want is for it to end with only varchie, which I'm not down for",False,en,0,0,2021-02-27 04:37:29,1365521413990453248,"{'neg': 0.089, 'neu': 0.843, 'pos': 0.068, 'compound': 0.2358}","['rewatching', 'bughead', 'scenes', 'kinda', 'soft', 'ugh', 'genuinely', 'pick', 'ship', 'prefer', 'actually', 'think', 'happy', 'either', 'barchie', 'bughead', 'guess', 'really', 'want', 'end', 'varchie']",rewatching bughead scenes kinda soft ugh genuinely pick ship prefer actually think happy either barchie bughead guess really want end varchie,0.22968253968253968,0.5062698412698412
RT @winchesterbitxh: barchie has more chemistry in 2 episodes than varchie had in 5 seasons,False,en,0,44,2021-02-27 04:18:10,1365516550984376320,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['barchie', 'chemistry', '2', 'episodes', 'varchie', '5', 'seasons']",barchie chemistry 2 episodes varchie 5 seasons,0.5,0.5
RT @barchiesdreams: just a little thread of how you shouldn’t worry about varchie or bughead &lt;3,False,en,0,15,2021-02-27 04:14:57,1365515740988596225,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4404}","['little', 'thread', 'worry', 'varchie', 'bughead', 'lt', '3']",little thread worry varchie bughead lt 3,-0.1875,0.5
RT @speaksza: varchie’s emotional connection equates to those talks with the counselor in elementary school whenever you started crying in…,False,en,0,13,2021-02-27 03:51:46,1365509905814347778,"{'neg': 0.137, 'neu': 0.793, 'pos': 0.07, 'compound': -0.3612}","['varchie', 'emotional', 'connection', 'equates', 'talks', 'counselor', 'elementary', 'school', 'whenever', 'started', 'crying']",varchie emotional connection equates talks counselor elementary school whenever started crying,0.033333333333333326,0.7166666666666667
RT @veronnicslodge: maybe varchie captain mary andrews could be veronica's divorce lawyer 😌,False,en,0,6,2021-02-27 03:50:49,1365509668789919748,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['maybe', 'varchie', 'captain', 'mary', 'andrews', 'could', 'veronica', 'divorce', 'lawyer']",maybe varchie captain mary andrews could veronica divorce lawyer,0.0,0.0
"RT @mybarchie: one more thing, when barchie gets in a confirmed relationship THEN we can start comparing and contrasting to varchie and bug…",False,en,0,9,2021-02-27 03:46:50,1365508664140914695,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['one', 'thing', 'barchie', 'gets', 'confirmed', 'relationship', 'start', 'comparing', 'contrasting', 'varchie', 'bug']",one thing barchie gets confirmed relationship start comparing contrasting varchie bug,0.45,0.75
RT @RiverdaleDark: #Barchie is rising but maybe so is... #Varchie? We recap everything from the latest episode of #Riverdale on our podcast…,False,en,0,2,2021-02-27 03:38:04,1365506461128929281,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['barchie', 'rising', 'maybe', 'varchie', 'recap', 'everything', 'latest', 'episode', 'riverdale', 'podcast']",barchie rising maybe varchie recap everything latest episode riverdale podcast,0.5,0.9
Plzzz i don’t understand how Veronica could forgive barchie like that and still remain friends with them 😭😭 and ppl still ship varchie like Brooke Davis could never 💀 https://t.co/HyxaoUUoaS,False,en,0,0,2021-02-27 03:37:03,1365506204173238278,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.8481}","['plzzz', 'understand', 'veronica', 'could', 'forgive', 'barchie', 'like', 'still', 'remain', 'friends', 'ppl', 'still', 'ship', 'varchie', 'like', 'brooke', 'davis', 'could', 'never']",plzzz understand veronica could forgive barchie like still remain friends ppl still ship varchie like brooke davis could never,0.0,0.0
RT @bttyarch: very curious which one do you like best? #varchie #barchie #bughead,False,en,0,1,2021-02-27 03:32:39,1365505097510260736,"{'neg': 0.0, 'neu': 0.518, 'pos': 0.482, 'compound': 0.8516}","['curious', 'one', 'like', 'best', 'varchie', 'barchie', 'bughead']",curious one like best varchie barchie bughead,0.435,0.65
