tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,polarity,subjectivity
seriously tho. #barchie #Riverdale #BARCHIETIMEJUMP https://t.co/O0NlOm5mti,True,en,8,0,2021-02-25 23:37:02,1365083413837938689,"['seriously', 'tho', 'barchie', 'riverdale', 'barchietimejump']",seriously tho barchie riverdale barchietimejump,-0.3333333333333333,0.6666666666666666
RT @lizzieshermione: betty cooper and archie andrews are endgame. #Barchie 🥰 https://t.co/gDctuialVX,False,en,0,1,2021-02-25 23:35:59,1365083148736897026,"['betty', 'cooper', 'archie', 'andrews', 'endgame', 'barchie']",betty cooper archie andrews endgame barchie,0.0,0.0
@vcatras doesn’t make you a barchie though https://t.co/ndgox2zSvt,False,en,1,0,2021-02-25 23:34:47,1365082848882028546,"['make', 'barchie', 'though']",make barchie though,0.0,0.0
"barchie doing fwb is just build up; now they both think the other is using them for sex while having feelings, then the jealousy is gonna strike and they're gonna have to talk it out (they really havent since the 4x19 kiss) and then BOOM BARCHIE LOVE CONFESSION AND RAIN KISS https://t.co/xGsLgK9B4s",True,en,3,0,2021-02-25 23:34:10,1365082692639993862,"['barchie', 'fwb', 'build', 'think', 'using', 'sex', 'feelings', 'jealousy', 'gonna', 'strike', 'gonna', 'talk', 'really', 'havent', 'since', '4x19', 'kiss', 'boom', 'barchie', 'love', 'confession', 'rain', 'kiss']",barchie fwb build think using sex feelings jealousy gonna strike gonna talk really havent since 4x19 kiss boom barchie love confession rain kiss,0.19166666666666665,0.3916666666666666
@fansplain They’re bringing a lot of ppl back! #barchie is endgame💕,False,en,1,0,2021-02-25 23:33:55,1365082628039331850,"['bringing', 'lot', 'ppl', 'back', 'barchie', 'endgame']",bringing lot ppl back barchie endgame,0.0,0.0
my sister saying barchie happening is amazing so true,False,en,0,0,2021-02-25 23:33:25,1365082502524776451,"['sister', 'saying', 'barchie', 'happening', 'amazing', 'true']",sister saying barchie happening amazing true,0.47500000000000003,0.775
RT @xoBBrothaxo: If you can’t tell that the writers are taking their time with barchie then log off,False,en,0,8,2021-02-25 23:33:06,1365082422090563587,"['tell', 'writers', 'taking', 'time', 'barchie', 'log']",tell writers taking time barchie log,0.0,0.0
"RT @EpicBarchie: @Nandhini_Jana @WriterRAS Screw this show, seriously. I wish #Barchie was on another show and we weren't forced to deal wi…",False,en,0,4,2021-02-25 23:31:05,1365081917629079558,"['screw', 'show', 'seriously', 'wish', 'barchie', 'another', 'show', 'forced', 'deal', 'wi']",screw show seriously wish barchie another show forced deal wi,-0.31666666666666665,0.43333333333333335
RT @colourfangirl: BARCHIE CAR UPGRADE ⬆️🔥 https://t.co/xoR5H7kYbO,False,en,0,4,2021-02-25 23:30:53,1365081865628110850,"['barchie', 'car', 'upgrade']",barchie car upgrade,0.0,0.0
barchie absolutely,False,en,0,0,2021-02-25 23:29:13,1365081448621895684,"['barchie', 'absolutely']",barchie absolutely,0.2,0.9
