tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets
"@blossom_choni @dykespeon I agree completely, but I’m not sure if it’s a new thing that’s popped up, or if it was always there and I was just a naïve kid in the past. Either way it’s really disappointing to see, especially when so many of the fans are kids who naturally latch onto the “popular opinion” :C",False,en,4,0,2021-02-26 11:17:09,1365259603747962880,"{'neg': 0.197, 'neu': 0.776, 'pos': 0.028, 'compound': -0.9133}","['agree', 'completely', 'sure', 'new', 'thing', 'popped', 'always', 'na', 'kid', 'past', 'either', 'way', 'really', 'disappointing', 'see', 'especially', 'many', 'fans', 'kids', 'naturally', 'latch', 'onto', 'popular', 'opinion', 'c']",agree completely sure new thing popped always na kid past either way really disappointing see especially many fans kids naturally latch onto popular opinion c
All thinking that we would not see much of Toni because of the pregnancy and the one who barely comes out is Cheryl🍒!😭 in episode 6 luckily we have more content🥺❤️ #Riverdale #RiverdaleSeason5 #riverdale5 #choni https://t.co/TM8PQg2Qot,False,en,2,0,2021-02-26 11:11:01,1365258062068658179,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.5562}","['thinking', 'would', 'see', 'much', 'toni', 'pregnancy', 'one', 'barely', 'comes', 'cheryl', 'episode', '6', 'luckily', 'content', 'riverdale', 'riverdaleseason5', 'riverdale5', 'choni']",thinking would see much toni pregnancy one barely comes cheryl episode 6 luckily content riverdale riverdaleseason5 riverdale5 choni
Choni for sure https://t.co/3O8EBK7dMr,True,en,0,0,2021-02-26 11:06:13,1365256853576429573,"{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.3182}","['choni', 'sure']",choni sure
when choni serve this   https://t.co/zwSzr4yYR7,False,en,4,1,2021-02-26 10:45:32,1365251645647552516,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['choni', 'serve']",choni serve
(I ship choni obvi haha),False,en,0,0,2021-02-26 10:26:51,1365246946219294720,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['ship', 'choni', 'obvi', 'haha']",ship choni obvi haha
RT @VanessaMorgan: choni’s baby 😂 https://t.co/rj63Ci6ElI,False,en,0,1149,2021-02-26 10:12:58,1365243449495150594,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['choni', 'baby']",choni baby
@fansplain I do not know. I think part of us is waiting for bughead and choni to come together,False,en,1,0,2021-02-26 10:07:24,1365242052351586308,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['know', 'think', 'part', 'us', 'waiting', 'bughead', 'choni', 'come', 'together']",know think part us waiting bughead choni come together
Roberto Aguirre-Sacasa teases the upcoming developments for Toni and Cheryl after the time jump! #Riverdale #RiverdaleSeason5 #Choni #news https://t.co/259oAtcHPZ,False,en,1,1,2021-02-26 10:00:59,1365240435418034176,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.3595}","['roberto', 'aguirre', 'sacasa', 'teases', 'upcoming', 'developments', 'toni', 'cheryl', 'time', 'jump', 'riverdale', 'riverdaleseason5', 'choni', 'news']",roberto aguirre sacasa teases upcoming developments toni cheryl time jump riverdale riverdaleseason5 choni news
RT @antcinettetopaz: toni’s apartment is so cute i can’t wait to have for choni to have a scene here https://t.co/sqKD53P35d,False,en,0,12,2021-02-26 09:56:16,1365239250682327048,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.5949}","['toni', 'apartment', 'cute', 'wait', 'choni', 'scene']",toni apartment cute wait choni scene
@andrcwsbctty Excuse me Choni is toxic toxic this could only be from a bh,False,en,1,0,2021-02-26 09:38:19,1365234730787102721,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.0772}","['excuse', 'choni', 'toxic', 'toxic', 'could', 'bh']",excuse choni toxic toxic could bh
