tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
"Toni Topaz 

-Riverdale rp
-Literate/Descriptive
-Mature themes
-Post time jump
-Ship with Chemistry 
-21+

#riverdalerp 

↻/♡ 
- https://t.co/jvmO0amZNJ",False,en,43,35,2021-02-26 18:42:35,1365371699148038147,"['toni', 'topaz', 'riverdale', 'rp', 'literate', 'descriptive', 'mature', 'themes', 'post', 'time', 'jump', 'ship', 'chemistry', '21', 'riverdalerp']",toni topaz riverdale rp literate descriptive mature themes post time jump ship chemistry 21 riverdalerp
can someone explain the riverdale time jump if theyre in 2021 after the time jump when the hell did they graduate,False,en,0,0,2021-02-26 18:23:10,1365366812725157893,"['someone', 'explain', 'riverdale', 'time', 'jump', 'theyre', '2021', 'time', 'jump', 'hell', 'graduate']",someone explain riverdale time jump theyre 2021 time jump hell graduate
"RT @OfSunshineFlowr: ○○○○ Isabelle Elisa ○○○○

○ Riverdale OC
  ○ Daughter Of Alice &amp; FP
○ 70's Enthusiast
  ○ Model Turned FBI Agent
○ Pre…",False,en,0,10,2021-02-26 18:21:14,1365366327431561216,"['isabelle', 'elisa', 'riverdale', 'oc', 'daughter', 'alice', 'amp', 'fp', '70', 'enthusiast', 'model', 'turned', 'fbi', 'agent', 'pre']",isabelle elisa riverdale oc daughter alice amp fp 70 enthusiast model turned fbi agent pre
RT @SurvivedShows: Roberto Aguirre-Sacasa teases the upcoming developments for Toni and Cheryl after the time jump! #Riverdale #RiverdaleSe…,False,en,0,1,2021-02-26 18:13:06,1365364278992199686,"['roberto', 'aguirre', 'sacasa', 'teases', 'upcoming', 'developments', 'toni', 'cheryl', 'time', 'jump', 'riverdale', 'riverdalese']",roberto aguirre sacasa teases upcoming developments toni cheryl time jump riverdale riverdalese
"RT @enigmaticjuliet: Agent Elizabeth Cooper — 

↳ literate &amp; descriptive portrayal of elizabeth”Betty” cooper. time jump based. 18+. mature…",False,en,0,36,2021-02-26 17:52:40,1365359137824116742,"['agent', 'elizabeth', 'cooper', 'literate', 'amp', 'descriptive', 'portrayal', 'elizabeth', 'betty', 'cooper', 'time', 'jump', 'based', '18', 'mature']",agent elizabeth cooper literate amp descriptive portrayal elizabeth betty cooper time jump based 18 mature
"WATCH: Riverdale Time Jump - ""Hiram Lodge""! https://t.co/uFrCWMm1vh 

@MarkConsuelos #riverdale #varchie https://t.co/6Mc0EmukmG",False,en,1,0,2021-02-26 17:47:14,1365357773198946304,"['watch', 'riverdale', 'time', 'jump', 'hiram', 'lodge', 'riverdale', 'varchie']",watch riverdale time jump hiram lodge riverdale varchie
"RT @venereumadlicio: ˏˋ     𝑯𝑨𝑽𝑬 𝑻𝑯𝑬 𝑳𝑨𝑴𝑩𝑺           𝑺𝑻𝑶𝑷𝑷𝑬𝑫 𝑺𝑪𝑹𝑬𝑨𝑴𝑰𝑵𝑮?   ࿐ 

                      ༄

au portrayal of riverdale’s elizabet…",False,en,0,39,2021-02-26 17:42:50,1365356662911995906,"['au', 'portrayal', 'riverdale', 'elizabet']",au portrayal riverdale elizabet
"I'd given up on Riverdale but just tried it again there in case it got better after the time-jump.

Nope. It's just so, so stupid. How do the actors not die of embarrassment.",False,en,0,0,2021-02-26 17:39:25,1365355805323780114,"['given', 'riverdale', 'tried', 'case', 'got', 'better', 'time', 'jump', 'nope', 'stupid', 'actors', 'die', 'embarrassment']",given riverdale tried case got better time jump nope stupid actors die embarrassment
"I cannot believe how mature Riverdale got after this time jump. For the love of God, I pray these writers don't screw it up",False,en,0,0,2021-02-26 17:35:26,1365354800670507009,"['cannot', 'believe', 'mature', 'riverdale', 'got', 'time', 'jump', 'love', 'god', 'pray', 'writers', 'screw']",cannot believe mature riverdale got time jump love god pray writers screw
"@a_strandale @ArchieComics @camilamendes We haven't even got a CAOS crossover and that actually shares an universe with Riverdale

Also like...they can't insert Riverdale into the 80s anymore
(Actually no they can since somehow it's still 2021 after the time jump, so the timeline doesn't matter)",False,en,4,0,2021-02-26 17:08:45,1365348087527600130,"['even', 'got', 'caos', 'crossover', 'actually', 'shares', 'universe', 'riverdale', 'also', 'like', 'insert', 'riverdale', '80s', 'anymore', 'actually', 'since', 'somehow', 'still', '2021', 'time', 'jump', 'timeline', 'matter']",even got caos crossover actually shares universe riverdale also like insert riverdale 80s anymore actually since somehow still 2021 time jump timeline matter
"Cheryl Blossom has been pretty quiet in the post-time-jump #Riverdale era. This week, we got our first glimpse into what she's been up to. | via @TheMollyTurner
https://t.co/89ecmnJKau",False,en,3,0,2021-02-26 16:21:00,1365336069034676227,"['cheryl', 'blossom', 'pretty', 'quiet', 'post', 'time', 'jump', 'riverdale', 'era', 'week', 'got', 'first', 'glimpse', 'via']",cheryl blossom pretty quiet post time jump riverdale era week got first glimpse via
"RT @madchenamick: In honor of tonight’s seven-year time jump episode, here is last weeks BTS as jellybean, FP and the serpents ride off int…",False,en,0,159,2021-02-26 14:53:52,1365314142337454084,"['honor', 'tonight', 'seven', 'year', 'time', 'jump', 'episode', 'last', 'weeks', 'bts', 'jellybean', 'fp', 'serpents', 'ride', 'int']",honor tonight seven year time jump episode last weeks bts jellybean fp serpents ride int
@Ls2393710611 @CW_Riverdale Um you calling me a freak is childish and I was just saying there was a 7 year time jump and there grownups they no better then u atleast so like I said get over it and stop acting childish,False,en,0,0,2021-02-26 14:14:55,1365304339569520651,"['um', 'calling', 'freak', 'childish', 'saying', '7', 'year', 'time', 'jump', 'grownups', 'better', 'u', 'atleast', 'like', 'said', 'get', 'stop', 'acting', 'childish']",um calling freak childish saying 7 year time jump grownups better u atleast like said get stop acting childish
"RT @tvpromosdb: Riverdale Season 5 ""Hiram's Time Jump"" Featurette (HD) https://t.co/raXWgomIxR",False,en,0,3,2021-02-26 13:56:56,1365299815198953473,"['riverdale', 'season', '5', 'hiram', 'time', 'jump', 'featurette', 'hd']",riverdale season 5 hiram time jump featurette hd
"The core four of Riverdale were born in 2001, they graduated from highschool in 2019 / 2020, then there is the time jump that’s seven years into the future, and is of course set in 2021, when they are twenty five, of course, considering they were born in 2001.",False,en,2,0,2021-02-26 11:53:47,1365268823549636609,"['core', 'four', 'riverdale', 'born', '2001', 'graduated', 'highschool', '2019', '2020', 'time', 'jump', 'seven', 'years', 'future', 'course', 'set', '2021', 'twenty', 'five', 'course', 'considering', 'born', '2001']",core four riverdale born 2001 graduated highschool 2019 2020 time jump seven years future course set 2021 twenty five course considering born 2001
@BrianEPaterson Yes Season 1 and now the Time jump!! 🤩🤩 #Riverdale,False,en,1,0,2021-02-26 10:21:27,1365245584496615426,"['yes', 'season', '1', 'time', 'jump', 'riverdale']",yes season 1 time jump riverdale
