tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets
melissa and joey moments that radiate falice energy — a thread 🌼 https://t.co/XTVx1SndMk,False,en,30,5,2021-02-26 19:21:24,1365381467828867072,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}","['melissa', 'joey', 'moments', 'radiate', 'falice', 'energy', 'thread']",melissa joey moments radiate falice energy thread
@molina_yaneisy i’m posting it in a bit when it rendered its not a falice fancam tho,False,en,1,0,2021-02-26 18:34:32,1365369675626987524,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['posting', 'bit', 'rendered', 'falice', 'fancam', 'tho']",posting bit rendered falice fancam tho
So I’m missing them...😢💔 @madchenamick  #falice #faliceforever #faliceedit #fpjones #alicesmith #instagram #TikTok https://t.co/7oXAH8Nwze,False,en,1,0,2021-02-26 17:50:26,1365358575825154050,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.3566}","['missing', 'falice', 'faliceforever', 'faliceedit', 'fpjones', 'alicesmith', 'instagram', 'tiktok']",missing falice faliceforever faliceedit fpjones alicesmith instagram tiktok
"RT @CWRiverdaleNew: We have something to tell you: we miss #Falice, we loved posted about them. ❤️",False,en,0,25,2021-02-26 17:19:15,1365350727992958977,"{'neg': 0.078, 'neu': 0.732, 'pos': 0.19, 'compound': 0.5106}","['something', 'tell', 'miss', 'falice', 'loved', 'posted']",something tell miss falice loved posted
"And in 12 years time, will we smile when we think about us?

Our timing is a mess but that don’t mean that it means less and if we have to say goodbye ‘cause is for the best, what are we gonna do with all this love? #Falice

 https://t.co/9w0mf3hDyc",False,en,14,2,2021-02-26 17:03:35,1365346787469352961,"{'neg': 0.029, 'neu': 0.725, 'pos': 0.246, 'compound': 0.9447}","['12', 'years', 'time', 'smile', 'think', 'us', 'timing', 'mess', 'mean', 'means', 'less', 'say', 'goodbye', 'cause', 'best', 'gonna', 'love', 'falice']",12 years time smile think us timing mess mean means less say goodbye cause best gonna love falice
@falicesushi Falice,False,en,0,0,2021-02-26 14:47:29,1365312537869377536,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['falice'],falice
RT @molina_yaneisy: #FALICE to #SKÄDCHEN x streets x wild though https://t.co/Djs4dKgJQv,False,en,0,1,2021-02-26 14:39:51,1365310616068648968,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['falice', 'sk', 'dchen', 'x', 'streets', 'x', 'wild', 'though']",falice sk dchen x streets x wild though
#FALICE to #SKÄDCHEN x streets x wild though https://t.co/Djs4dKgJQv,False,en,13,1,2021-02-26 14:37:30,1365310023128272905,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['falice', 'sk', 'dchen', 'x', 'streets', 'x', 'wild', 'though']",falice sk dchen x streets x wild though
@HindRain Have you published this yet? Or still in the process of writing before pubshiling? I’m always looking for new falice fivs to read 💜,False,en,0,0,2021-02-26 03:00:46,1365134684221542400,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['published', 'yet', 'still', 'process', 'writing', 'pubshiling', 'always', 'looking', 'new', 'falice', 'fivs', 'read']",published yet still process writing pubshiling always looking new falice fivs read
RT @molina_yaneisy: #FALICE : do you wanna know https://t.co/iWNBbp5qK2,False,en,0,2,2021-02-25 23:59:49,1365089148848267265,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['falice', 'wanna', 'know']",falice wanna know
Anyone got the falice thread?? I can’t find it,False,en,2,0,2021-02-25 23:30:06,1365081667434594304,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['anyone', 'got', 'falice', 'thread', 'find']",anyone got falice thread find
I became done with B*ghead as soon as the stans were rude to Falice stans in s2,False,en,0,0,2021-02-25 23:26:09,1365080672986157060,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4588}","['became', 'done', 'b', 'ghead', 'soon', 'stans', 'rude', 'falice', 'stans', 's2']",became done b ghead soon stans rude falice stans s2
RT @medicaldoctxr: Me after watching the falice kiss scene for the millionth time https://t.co/tsJJQyylNl,False,en,0,4,2021-02-25 23:16:21,1365078209759498243,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}","['watching', 'falice', 'kiss', 'scene', 'millionth', 'time']",watching falice kiss scene millionth time
#FALICE : do you wanna know https://t.co/iWNBbp5qK2,False,en,4,2,2021-02-25 22:46:39,1365070735002062849,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['falice', 'wanna', 'know']",falice wanna know
@softfalice having a falice moment in her one shots just makes me love this moment more https://t.co/5F2iQxj9yI,True,en,1,0,2021-02-25 22:14:54,1365062742160396293,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6369}","['falice', 'moment', 'one', 'shots', 'makes', 'love', 'moment']",falice moment one shots makes love moment
@amicksbabe Wait...not ruin the falice moment but this could have not been in Fp is trailer that room bigger than mine!😅,False,en,0,0,2021-02-25 22:00:37,1365059150615568392,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.4003}","['wait', 'ruin', 'falice', 'moment', 'could', 'fp', 'trailer', 'room', 'bigger', 'mine']",wait ruin falice moment could fp trailer room bigger mine
