tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
"RT @chonigif: the roles have been reversed 👀
[2x16 - 5x07] #riverdale #choni @VanessaMorgan @madelainepetsch https://t.co/0YiSaS3YUH",False,en,0,55,2021-02-27 05:07:08,1365528872494727173,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @BarchieUpdates: Rachel Talalay directed the episode? And I’m getting both Barchie and Choni on march 17??? AAAAAAA https://t.co/eq3rO8F…,False,en,0,30,2021-02-27 04:58:47,1365526773782302722,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Stop. Shipping. Cheryl. With. Men. She. Is. A. Lesbian. https://t.co/XlVGAywHlm,False,en,5,1,2021-02-27 04:57:21,1365526410257907713,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}"
RT @chonistyles: CHONI ARE THE MAIN STORYLINE FOR 5X08 https://t.co/BniRoAmhOD,False,en,0,36,2021-02-27 04:55:52,1365526040425205762,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @tcpazs: barchie and choni besties,True,en,0,3,2021-02-27 04:40:44,1365522231158333440,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
I’m gonna build choni a cute city apartment in the sims I think,False,en,0,0,2021-02-27 04:28:20,1365519111401443329,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4588}"
if choni don’t end up together by the end of this season i’ll riot,False,en,1,0,2021-02-27 04:25:35,1365518417755844611,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.5574}"
RT @tonistopazz: when riverdale pulls a glee and has choni &amp; kangs have a joint wedding 🤩🤩🤩🤩,False,en,0,3,2021-02-27 04:25:01,1365518276273582080,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6369}"
@choni_wayhaught Didn’t she film ahead?,False,en,0,0,2021-02-27 04:17:36,1365516406645796866,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @vancssamorgan: you don’t understand i NEED choni to do this 
https://t.co/TjzauF2KnN",False,en,0,7,2021-02-27 04:16:24,1365516106559971328,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @fran_topaz: I keep saying I want a rain kiss. But if we actually get one? I WON’T KNOW HOW TO ACT. CHONI TWITTER WILL CRASH,False,en,0,7,2021-02-27 04:10:03,1365514510191054851,"{'neg': 0.129, 'neu': 0.716, 'pos': 0.155, 'compound': -0.0857}"
RT @toniblossoms: A CHONI CENTRIC EPISODE WINNING https://t.co/SFbl2kQCgy,False,en,0,8,2021-02-27 04:08:35,1365514140345798656,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.6289}"
RT @tcpazs: choni rain kiss 🌧,False,en,0,1,2021-02-27 04:01:47,1365512426402107395,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}"
Cheryl and Minerva endgame!!! — Choni endgame sorry  https://t.co/GaVP8OSZ02,False,en,1,0,2021-02-27 03:58:35,1365511622513618944,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.2905}"
RT @topazgotjuice: i don’t even know who this is but it is very beautiful... choni when? https://t.co/0NcnXAR6n4,False,en,0,17,2021-02-27 03:57:21,1365511314462953475,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @chonistyles: ANYWAYS MADELAINE AND VANESSA ARE THE CAPTAINS OF THE CHONI SHIP AND WOULD FIGHT FOR THEM https://t.co/JRE3TdRo3T,False,en,0,25,2021-02-27 03:57:14,1365511281579589634,"{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.516}"
choni rain kiss 🌧,False,en,14,1,2021-02-27 03:56:24,1365511073936248837,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}"
"RT @jnkcottriII: ""i'm pretty.. somewhat, i'm famous.. as fuck"" -billie eilish
BITCH YOU'RE THE PRETTIEST HUMAN EVER 😭😭😭",False,en,0,178,2021-02-27 03:17:18,1365501234908721154,"{'neg': 0.292, 'neu': 0.546, 'pos': 0.161, 'compound': -0.5574}"
RT @larrayxo: billie eilish deserves the world,False,en,0,3100,2021-02-27 03:16:42,1365501082370203650,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@RiverdaleEPS @madelainepetsch @VanessaMorgan AAHHHHHH CHONI FOREVERRRRR,False,en,0,0,2021-02-27 03:16:32,1365501041085734926,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Has the choni rain kiss been approved 🤔,False,en,0,0,2021-02-27 03:10:48,1365499596768759811,"{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.6808}"
RT @Haught_Toddy: what if nicole did body swap with champ and waverly is trying to resist this version of her fiancé bc she knows it’s not…,False,en,0,9,2021-02-27 03:04:41,1365498060386754562,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.4767}"
RT @dovesonlyfans: OH HELL NAHHH BABYYYYY THIS AINT FINNA WORK,True,en,0,1,2021-02-27 03:04:27,1365497998122303491,"{'neg': 0.372, 'neu': 0.628, 'pos': 0.0, 'compound': -0.7456}"
RT @earptheorist: Me if a network doesn’t pick Wynonna Earp up for a 5th season! #WynonnaEarp #BringWynonnaHome https://t.co/S79eR4XueM,False,en,0,10,2021-02-27 02:52:59,1365495113145856001,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @whyislukemylife: when at the key party archie pulls veronica's key which parallels when the bottle landed on v in the pilot, but in the…",False,en,0,36,2021-02-27 02:52:31,1365494997882183682,"{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.2144}"
"RT @sweetchonis: IF there HAS to be a key party, one somehow organised by Cheryl (an almost parallel to her “in the mood for chaos” Thornhi…",False,en,0,2,2021-02-27 02:51:55,1365494844605538306,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.4019}"
"Here's to Ronnie, and Archie, and Betty, and Jughead, and Choni, and Reggie AND MEEEEEEEEEEEEEEEE",False,en,33,0,2021-02-27 02:43:05,1365492621825687554,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"barchie, choni, and tabitha/jughead are kinda sexy",False,en,0,0,2021-02-27 02:40:57,1365492086976491522,"{'neg': 0.0, 'neu': 0.659, 'pos': 0.341, 'compound': 0.4779}"
"When people say that Toni deserves better than Cheryl don’t understand Cheryl
They’re perfect for each other",False,en,1,0,2021-02-27 02:40:04,1365491862577029130,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.765}"
RT @sweetchonis: Cheryl (Madelaine Petsch) sets a risky plan in motion after learning some surprising news about Toni (Vanessa Morgan). htt…,False,en,0,3,2021-02-27 02:23:41,1365487742298316811,"{'neg': 0.082, 'neu': 0.822, 'pos': 0.096, 'compound': 0.0772}"
RT @saintopacio: vote choni and tabitharonnie BUT choni is the main priority,True,en,0,1,2021-02-27 02:17:52,1365486275004891140,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @choniwillows: choni - money machine https://t.co/h4OHza0rPg,False,en,0,8,2021-02-27 02:17:18,1365486134898216960,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @chonirubies: choni love confession like this when
 https://t.co/bhIFW60RPe",False,en,0,15,2021-02-27 02:14:47,1365485501499645954,"{'neg': 0.0, 'neu': 0.511, 'pos': 0.489, 'compound': 0.7717}"
RT @sydthekid41319: This is about the finale of goodwitch and I’m intrigued?,True,en,0,1,2021-02-27 02:14:30,1365485431064846338,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@robynchoni Especially when they’re starting to give extended breaks between episodes and seasons,False,en,0,0,2021-02-27 02:12:09,1365484839810514945,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@BlossomFenix It stems from the fact that Vanessa went on maternity leave after 508 so people think that’s the reason she’s gonna disappear,False,en,0,0,2021-02-27 02:11:36,1365484700714860553,"{'neg': 0.129, 'neu': 0.871, 'pos': 0.0, 'compound': -0.2732}"
RT @BlossomFenix: @sweetchonis New choni bed scene manifesting,False,en,0,1,2021-02-27 02:10:47,1365484494355070976,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @sweetchonis: they wouldn’t put all that work into a set not to utilise it 👀,False,en,0,1,2021-02-27 02:10:44,1365484482975969282,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @topazgotjuice: i’m nervous about cheryl’s plan 😅 when do plans ever go smoothly in dramas?? someone gonna get hurt,False,en,0,3,2021-02-27 02:10:37,1365484452693086209,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.7059}"
RT @ruephoriia: OKAY so what if cheryl finds out about the surrogacy before everyone else and then organizes this celebration for toni and…,False,en,0,4,2021-02-27 02:10:08,1365484328852086785,"{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.3885}"
i want choni stans to follow me hello?!?!? #tonidale #chonidale where y’all at,False,en,1,0,2021-02-27 02:09:37,1365484201680723968,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.3451}"
"RT @sapphicvanessa: WAIT what if mads didn’t mean WHO she’s kissing, rather WHY she’s kissing someone. 5x08 is supposedly a key party so ma…",False,en,0,5,2021-02-27 02:09:23,1365484140443926533,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.8779}"
@tonidaIe @choni_wayhaught why 5x8 :ooo,False,en,0,0,2021-02-27 02:08:55,1365484023749951488,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
vote choni and tabitharonnie BUT choni is the main priority https://t.co/ClgLbCZuDI,True,en,1,1,2021-02-27 02:08:48,1365483994234593280,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
barchie and choni besties https://t.co/OFCZbPtOss,True,en,10,3,2021-02-27 02:02:02,1365482293515620354,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
WAIT if this is 507 RAIN-KISS 508 REUNION makeup I’m here for it https://t.co/tADLRrUs90,True,en,1,0,2021-02-27 02:02:00,1365482284497960962,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @wynskellen: I might get canceled for this but... stetson with hair down is superior to the French braid #WynonnaEarp #BringWynonnaHome…,False,en,0,98,2021-02-27 02:00:48,1365481982575190019,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.5423}"
RT @chxrylpetsch: please don’t be in love with someone else https://t.co/BQIRUj7QbD,False,en,0,70,2021-02-27 02:00:19,1365481861389176832,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.7579}"
