tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
"people be shipping jeronica- bye the only core 4 ships allowed are bughead, varchie, beronica and jarchie and thats final.",False,en,0,0,2021-03-01 01:56:52,1366205768291221511,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@RiverdaleRefer1 Why is the Vughead/Jeronica fandom so funny doe 😭 that was literally me in season 3 💀 seriously tho I need more scenes of them 🤡✌🏻,False,en,4,1,2021-03-01 01:45:57,1366203021785448453,"{'neg': 0.064, 'neu': 0.794, 'pos': 0.141, 'compound': 0.4663}"
@WriterRAS i’m gonna need some Jeronica/Vughead scenes tbh 😗,False,en,3,1,2021-03-01 01:43:15,1366202339678433283,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @LaBella_Aria: Omg I never noticed her thumb caressing his 😍😍😍💕💕 #jeronica #Riverdale #vughead,True,en,0,1,2021-03-01 01:20:25,1366196595298099201,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @RiverdaleRefer1: Everytime #jeronica https://t.co/BW7Lgjw84g,False,en,0,1,2021-03-01 01:19:21,1366196326770241537,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@rtalalay Pls let it be Jeronica! It's not but a girl can wish! 😭,False,en,0,0,2021-03-01 01:18:05,1366196009043451910,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.6467}"
RT @Shivranjaniii: #Jeronica needs a chance https://t.co/HfIfg3qkSZ,False,en,0,3,2021-03-01 01:12:39,1366194639162781697,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.25}"
TIME #jeronica https://t.co/S0snYETNhE,False,en,7,0,2021-03-01 00:51:02,1366189201876791301,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
DAMN #jeronica https://t.co/UlOot7nPbe,False,en,5,0,2021-03-01 00:51:00,1366189191047086088,"{'neg': 0.632, 'neu': 0.368, 'pos': 0.0, 'compound': -0.5319}"
Everytime #jeronica https://t.co/BW7Lgjw84g,False,en,7,1,2021-03-01 00:50:55,1366189170125905922,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
They way he looks at her. #jeronica #riverdale https://t.co/kmrpIfhwvf,False,en,30,7,2021-03-01 00:50:52,1366189159627567115,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @ShellyLahey: I was very bored so enjoy my lovely Jeronica’s!! https://t.co/tBrkpTT1vO,False,en,0,2,2021-03-01 00:18:01,1366180889189842947,"{'neg': 0.123, 'neu': 0.411, 'pos': 0.467, 'compound': 0.8272}"
if u wrote in jeronica barchie or bughead into the gay ship awards why are u homophobic😭,False,en,30,1,2021-02-28 23:53:33,1366174732890959872,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4588}"
"@rtalalay I really wanted something to happen between Jugh and Veronica in this episode! But the ""unexpected"" kiss will probably not be theirs. It is difficult to like Jeronica, when we know that they both have a lot of chemistry and the writers waste it. But we cannot have expectations https://t.co/xrZG6noSqu",False,en,11,1,2021-02-28 23:30:43,1366168988573708291,"{'neg': 0.095, 'neu': 0.809, 'pos': 0.095, 'compound': 0.0}"
"@rtalalay Jeronica should happen, the fandom needs this @rtalalay @WriterRAS !!!!",False,en,2,0,2021-02-28 23:12:19,1366164358477283329,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
I was very bored so enjoy my lovely Jeronica’s!! https://t.co/tBrkpTT1vO,False,en,28,2,2021-02-28 22:10:19,1366148754517020673,"{'neg': 0.137, 'neu': 0.343, 'pos': 0.52, 'compound': 0.8272}"
omggg please be a Jeronica!! 😳 #jeronica #vughead https://t.co/fp1GZBORDU https://t.co/2vsFZa5LEk,True,en,7,0,2021-02-28 21:34:26,1366139723702534145,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.4374}"
@rtalalay please be Jeronica omgggg!!!,False,en,3,0,2021-02-28 21:30:10,1366138651537727492,"{'neg': 0.0, 'neu': 0.557, 'pos': 0.443, 'compound': 0.4898}"
