tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
@NetflxUpdates But they are end game. Bughead for life 😏,False,en,1,0,2021-03-02 11:39:00,1366714652944523267,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Enjoy a thread of my fav bughead pics in honour of bughead day,False,en,3,0,2021-03-02 11:37:53,1366714373444665349,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.872}"
"@RiverdaleDark They way she literally ruined their first kiss by thinking about something else, that’s why I will never ship Bughead. But I respect tho, enjoy your day ❤️",False,en,18,0,2021-03-02 11:33:59,1366713389515440130,"{'neg': 0.088, 'neu': 0.653, 'pos': 0.259, 'compound': 0.7184}"
happy bughead day! #bughead https://t.co/sIyRWoVbaC,False,en,0,0,2021-03-02 11:26:47,1366711581325758465,"{'neg': 0.0, 'neu': 0.501, 'pos': 0.499, 'compound': 0.6114}"
"we needed that to be continue moment, but oh well, happy 4 years of their first kiss 🥺👌🏻 #bughead #riverdale https://t.co/EE7v91R7yN",False,en,112,17,2021-03-02 11:13:16,1366708179749507073,"{'neg': 0.0, 'neu': 0.599, 'pos': 0.401, 'compound': 0.9081}"
GOOD MORNING. HAPPY BUGHEAD DAY,False,en,149,6,2021-03-02 11:11:41,1366707778149040135,"{'neg': 0.0, 'neu': 0.312, 'pos': 0.688, 'compound': 0.765}"
RT @ForsythesCooper: The fact that Jughead's voicemail has been mentioned but it's anonymous is already a sign that bughead's story isn't o…,False,en,0,23,2021-03-02 11:10:52,1366707574826033158,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"@Lilirhbrasil 1, 2, 3, 4- bughead || 5- barchie",False,en,0,0,2021-03-02 11:03:53,1366705816787693568,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @jugschandler: four years since bughead’s first kiss don’t mind me crying 🥺🥺🥺 #Riverdale https://t.co/ITIRgD8eVB,False,en,0,8,2021-03-02 11:03:52,1366705811100037123,"{'neg': 0.164, 'neu': 0.688, 'pos': 0.148, 'compound': -0.0772}"
Happy #Bughead Day 🥰 https://t.co/fZbi35WHBM,False,en,1134,177,2021-03-02 11:00:00,1366704839510605824,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}"
BUGHEAD DAY,False,en,17,0,2021-03-02 10:58:52,1366704554302128132,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
my bughead heaaart... https://t.co/h7lncleTv6,True,en,0,0,2021-03-02 10:58:33,1366704475973427200,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @bughartmarried: HOW THEY WERE LOOKING AT EACH OTHER'S LIPS https://t.co/6Js6CJQLuc,False,en,0,17,2021-03-02 10:57:49,1366704289327050752,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @colesouvenir: MY BEST FRIEND COLE SPROUSE HAS A NEW GF AND HE SHAVED AND HIS HAIR LOOKS AMAZING THE SERVE OF IT ALL https://t.co/H92sJx…,False,en,0,37,2021-03-02 10:57:41,1366704257173454849,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.9371}"
RT @rcnnnie: bughead and varchie yup,True,en,0,1,2021-03-02 10:48:22,1366701911462739969,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @jugsdick: omg bughead b and j necklace 😋😋,True,en,0,1,2021-03-02 10:47:09,1366701604880011266,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
happy bughead day ❤ https://t.co/6oxdqMMfye,False,en,41,1,2021-03-02 10:41:22,1366700151415447555,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}"
"""since we are gonna be the only two on the campus I thought we might....""

Canoodle? Oh no no no. Not on Riverdale. Not Bughead. Instead they are gonna solve a murder mystery. What was I thinking",False,en,0,0,2021-03-02 10:38:49,1366699506457333762,"{'neg': 0.268, 'neu': 0.689, 'pos': 0.043, 'compound': -0.8591}"
bughead and varchie yup https://t.co/kOQPqlG0Rj,True,en,18,1,2021-03-02 10:35:20,1366698631869390848,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
bughead will always be my powercouple :)))) fuck barchie https://t.co/aU1u2mprxj,True,en,4,2,2021-03-02 10:35:07,1366698575254577152,"{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.5423}"
"RT @xcoleobsessed: #Bughead #sprousehart #Riverdale 
They are made for each other🥺❤️ cole and lili🤞🏻 https://t.co/6k55eNQhaV",False,en,0,1,2021-03-02 10:34:29,1366698416340955136,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
omg bughead b and j necklace 😋😋 https://t.co/eUTqLJZjHN,True,en,7,1,2021-03-02 10:34:07,1366698325093801995,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@Barchiedaily @barchiedestiny 1 of the writers did an interview recently and said that Bughead’s story isn’t over yet. I don’t know what to make of it but I’m hoping it means that they’ll battle with their feelings for Jug and V and then Barchie will come to a form realisation that they want to be each other,False,en,2,0,2021-03-02 10:31:26,1366697650310041602,"{'neg': 0.058, 'neu': 0.854, 'pos': 0.088, 'compound': 0.1901}"
It's bughead day ✨ https://t.co/TYXW6NJ03U,False,en,7,0,2021-03-02 10:24:00,1366695780548038657,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
good morning 4 years ago jughead took courage and kiss betty and bughead was born https://t.co/BnyRKdK7sx,False,en,74,11,2021-03-02 10:23:56,1366695762458013697,"{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.836}"
Happy Bughead day to these babies https://t.co/IGQCbMt3Ic,False,en,0,0,2021-03-02 10:23:26,1366695636708507655,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.5719}"
@sprouseforsythe I did wonder this as well but tbh he refused to do that scene because it was really cold... something that could have made him feel ill? I don’t know but it didn’t change the whole show dynamic/story as a whole  which it could if he refused to explore Bughead again.,False,en,0,0,2021-03-02 10:13:05,1366693032574222336,"{'neg': 0.167, 'neu': 0.806, 'pos': 0.028, 'compound': -0.8294}"
"My babies💕✨
 × #EfYam ~ #Bughead × https://t.co/8ivDfbMDRG",False,en,8,0,2021-03-02 10:09:50,1366692215364472834,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @Bugheadsbeanie: I see those tears in your eyes
I feel so helpless inside
Oh love, there's no need to hide
Just let me love you when you…",False,en,0,1,2021-03-02 10:07:02,1366691510364864517,"{'neg': 0.254, 'neu': 0.525, 'pos': 0.221, 'compound': 0.1861}"
