tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
I want a bughead cuddle I want a varchie cuddle in 2021,False,en,1,0,2021-02-27 02:34:01,1365490340644483073,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.1531}"
@svthmvr did u just watch the 5x01 varchie ily scene?,False,en,1,0,2021-02-27 02:29:24,1365489177706582017,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.6597}"
but only after varchie gets back together so they can at least serve death trope,False,en,5,0,2021-02-27 02:25:57,1365488310269976576,"{'neg': 0.276, 'neu': 0.724, 'pos': 0.0, 'compound': -0.7469}"
"@RiverdaleDark Varchie? Seen it, wasn't impressed, next",False,en,2,0,2021-02-27 02:24:15,1365487884862689283,"{'neg': 0.299, 'neu': 0.701, 'pos': 0.0, 'compound': -0.3724}"
@crimsonclover90 @NancyRiverDrew Yeah... They are not on Barchie or Varchie's level. That's for sure. And them appearing on the CW as a couple isn't going to change that. Especially not when VA and BA have been portrayed as well.,False,en,2,0,2021-02-27 02:18:44,1365486495579037697,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.5267}"
OKAY I am done with barchies ima just talk about bughead and varchie that's it,False,en,3,0,2021-02-27 02:07:06,1365483569083260931,"{'neg': 0.0, 'neu': 0.832, 'pos': 0.168, 'compound': 0.3885}"
RT @bugverchoni: any moots that stop riding for varchie when bh starts getting content again is getting blocked for insubordination!,False,en,0,2,2021-02-27 02:06:00,1365483290610688002,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.5562}"
very curious which one do you like best? #varchie #barchie #bughead,False,en,3,1,2021-02-27 02:03:23,1365482632025427968,"{'neg': 0.0, 'neu': 0.463, 'pos': 0.537, 'compound': 0.8516}"
We stan both Bughead and Varchie in this house. Both. https://t.co/JU0ASOcTha,True,en,6,0,2021-02-27 02:01:32,1365482166747021314,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Bughead/Varchie endgame always. There will be now Varchie slander on my TL ever. https://t.co/UvCDq4bAny,True,en,7,0,2021-02-27 02:00:51,1365481992691847169,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @VarchiePolls: We are so strong on IG ! @WarnerChannelLA  Team #varchie all the way ! https://t.co/R96JvZekK2,False,en,0,5,2021-02-27 01:58:52,1365481495897473025,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.7027}"
maybe varchie will give me some barchie angst until theyre endgame i still win https://t.co/7v7EHdAYud,False,en,2,0,2021-02-27 01:57:43,1365481204775059458,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.5859}"
any moots that stop riding for varchie when bh starts getting content again is getting blocked for insubordination!,False,en,33,2,2021-02-27 01:50:52,1365479482807754752,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.5562}"
"@Varchie_Kj_Cami @bestgirlcami That was not ok/really clever of him saying that, especially during a pandemic when others can’t work or lose their job. If he’s so done with the show, he should leave - not that I want him tough.",False,en,2,0,2021-02-27 01:50:06,1365479290410778629,"{'neg': 0.221, 'neu': 0.779, 'pos': 0.0, 'compound': -0.7271}"
hes never done anything wrong your a barchie why are you on a bughead and varchie account ? https://t.co/hTmvNfiEAc,True,en,1,0,2021-02-27 01:44:21,1365477841878593540,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.3724}"
almost done editing varchie it’s my best work wth,False,en,14,0,2021-02-27 01:42:42,1365477426848014337,"{'neg': 0.233, 'neu': 0.479, 'pos': 0.288, 'compound': 0.2023}"
daily reminder that this account is 100% a bughead and varchie account not barchie at all,False,en,1,0,2021-02-27 01:34:27,1365475349396664320,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
