tweets,quote_status,language,favorite_count,retweet_count,time,id,neg,neu,pos,compound
"This darker time jump storyline is probably the most interesting direction #Riverdale has been, in a while. Should’ve happened like 2 seasons ago",False,en,0,0,2021-03-02 18:08:47,1366812745417576448,0.0,0.776,0.224,0.6697
so you mean to say that after 5 whole ass seasons betty and archie got together...? i thought bughead was endgame? and also what's up with the time jump - it's depressing and messed up (why did i give Riverdale another try?😭🤡👋),False,en,0,0,2021-03-02 14:45:11,1366761506981900292,0.205,0.795,0.0,-0.8418
"RT @BusinessOfLodge: Veronica Lodge 

literate/descriptive.portrayal of veronica lodge.pre &amp; post time jump.seeking mains &amp; storylines.ship…",False,en,0,8,2021-03-02 12:32:48,1366728192623575044,0.0,1.0,0.0,0.0
RIVERDALE DID A 7 YEAR TIME JUMP???? LMFAOOOOOOOO,False,en,0,0,2021-03-02 09:47:51,1366686683052138501,0.0,1.0,0.0,0.0
Now that #Riverdale has their cast playing twenty-somethings with the time jump I’m a total Barchie slut lol.,False,en,1,0,2021-03-02 02:58:33,1366583679875772417,0.17,0.625,0.205,-0.0516
"Craft beer at 10%, paperwork for the morning,  and riverdale on  dish network.   Yes I watch.   Just graduated.   Time jump next episode.",False,en,2,0,2021-03-02 00:58:56,1366553577670533120,0.0,0.881,0.119,0.4019
"╱ i think it's really beautiful to see alice doing so well after the time-jump. all of her friends, lovers, etc. moved out of riverdale and all she really had was polly and the twins and her job. my strong, independent baby.",False,en,0,0,2021-03-01 22:41:33,1366519000801423365,0.0,0.677,0.323,0.9496
I haven't watched #Riverdale in a couple seasons but I jumped back in at the time jump. This show makes me miss @dullgirlnef because I watched it for the first time at her house.,False,en,1,0,2021-03-01 20:08:24,1366480459954335747,0.061,0.939,0.0,-0.2263
RT @claire39458517: Why are the riverdale writers so scary to let Jughead and Veronica interact?? The time jump + Barchie was the perfect t…,False,en,0,1,2021-03-01 18:31:51,1366456163043209216,0.153,0.72,0.127,-0.1965
"i haven’t watched the new season of riverdale yet, but like is it getting better? i was kinda excited for the time jump. someone tell me if you recommend it😂 #RiverdaleSeason5 #Riverdale",False,en,0,0,2021-03-01 10:39:09,1366337202859503617,0.0,0.666,0.334,0.9187
"Sgt Archie Andrews 
-18+ rp friendly only please no hate and drama 
-Single ship only 
-looking for mains 
- Cheryl Veronica jughead Toni or any Betty as Bestie
- Ships based on chem 
- Pre or present time jump
#Riverdale #Riverdalerp https://t.co/GSC8uvvEX7",False,en,11,10,2021-03-01 10:15:36,1366331277859725312,0.127,0.754,0.119,-0.1027
Riverdale be like fine we will just do a seven year time jump so everyone stops getting mad at me for sexualizing teens,False,en,4,0,2021-03-01 06:25:41,1366273418421673988,0.185,0.657,0.157,-0.197
the only good thing about the time jump in riverdale is that they released betty from the ponytail,False,en,0,0,2021-03-01 05:06:55,1366253593750241288,0.0,0.854,0.146,0.4404
"ICYMI: After two weeks of post-time jump #Riverdale, things are still feeling a little too much same old, same old, with common sense still lacking. #TheCW #Archie #Betty #Jughead #Veronica #Toni #Chery #Hiram https://t.co/o2jfYF8J8s",False,en,2,0,2021-03-01 02:08:44,1366208754329477123,0.0,0.955,0.045,0.128
a mid szn time jump 7 years into the future so that they're all teaching at Riverdale highschool when they don't look like they aged a dayyyy,False,en,5,0,2021-03-01 01:05:57,1366192953597825026,0.084,0.916,0.0,-0.2755
what if when riverdale ends they jump out with some incredible writing and are like “we played you the entire time this was all part of our scheme.”,False,en,2,0,2021-03-01 00:07:01,1366178122064887808,0.0,0.841,0.159,0.5994
The riverdale writerd are sooo lazy for putting srchir and betty together post time jump without any build up lmfao,False,en,1,0,2021-02-28 20:47:16,1366127853188878336,0.104,0.75,0.146,0.25
@LegsFrank Get back into Riverdale! There was a 7 year time jump!,False,en,1,0,2021-02-28 19:56:40,1366115121886605313,0.0,1.0,0.0,0.0
"Veronica Lodge 

literate/descriptive.portrayal of veronica lodge.pre &amp; post time jump.seeking mains &amp; storylines.ships w/ chem.riverdale fandom.rt’s &amp; like’s appreciated. https://t.co/r6C1UrmPF2",False,en,9,8,2021-02-28 18:58:31,1366100484843479040,0.0,0.852,0.148,0.5106
"🍒Cheryl Blossom🍒

Literate &amp; Descriptive. Canon portrayal of Cheryl Blossom. Pre &amp; Post Time Jump. Mains &amp; storylines. Ships w/ Toni. Riverdale Fandom. Retweet &amp; Like appreciated. https://t.co/a8W0k9IE81",False,en,12,11,2021-02-28 18:55:32,1366099735661056000,0.0,0.818,0.182,0.7003
RT @bugheadspov: i’m so excited to see time jump bughead to have sexc scenes like ITS GONNA HIT HARD,False,en,0,33,2021-02-28 18:52:56,1366099080989048837,0.09,0.674,0.236,0.5398
"WATCH: Riverdale Time Jump - ""Reggie Mantle""! https://t.co/bwHJcpUSKC 

@_MELTON_ #barchie #riverdale #varchie https://t.co/ult44wVlWL",False,en,3,0,2021-02-28 17:19:26,1366075552772329474,0.0,1.0,0.0,0.0
@taylcrswiftmilf YES THERES BEEN A TIME JUMP IN S5 BECAUSE THEY GRADUATED AND NOW THEY ARE TEACHERS TRYING TO SAVE THE TOWN THEY GREW UP IN AND ITS MAKING ME FEEL INSANE RIVERDALE MY BELOVED https://t.co/DrY5m54tGX,False,en,1,0,2021-02-28 15:17:10,1366044782129201161,0.075,0.676,0.249,0.8388
"RT @tvpromosdb: Riverdale Season 5 ""Reggie's Time Jump"" Featurette (HD) https://t.co/ivsbRFfFoW",False,en,0,2,2021-02-28 14:31:44,1366033348599160839,0.0,1.0,0.0,0.0
"After two weeks of post-time jump #Riverdale, things are still feeling a little too much same old, same old, with common sense still lacking. #TheCW #Archie #Betty #Jughead #Veronica #Toni #Chery #Hiram https://t.co/o2jfYF8J8s",False,en,1,0,2021-02-28 14:07:27,1366027237053653000,0.0,0.954,0.046,0.128
... wait was the riverdale time jump real? Not just a one off special / dream sequence?,False,en,19,0,2021-02-28 11:45:44,1365991571179642882,0.0,0.72,0.28,0.6199
Riverdale Season 5 - Reggie's Time Jump --&gt; https://t.co/BztcYXerV6  #Riverdale #Season5,False,en,0,0,2021-02-28 05:11:11,1365892282969382912,0.0,1.0,0.0,0.0
"A 7 year time jump? Dang, i didn't see that one coming !! 😕 #Riverdale",False,en,0,0,2021-02-28 03:56:16,1365873427387740160,0.0,1.0,0.0,0.0
"RT @EW: On today’s #WhatToWatch, we’re talking about true crime, One Chicago and more. Plus, #Riverdale star KJ Apa explains what he’s enjo…",False,en,0,10,2021-02-28 01:07:14,1365830890123792387,0.128,0.769,0.103,-0.1779
I don't know why but watching Toni Topaz strut through #Riverdale looking like hot shit with her pregnant belly in the camera is just SENDING ME. She looks incredible. And Veronica's wardrobe post time jump is impeccable.,False,en,5,0,2021-02-28 00:58:56,1365828799103868930,0.116,0.807,0.077,-0.3919
"RT @bestarchiebetty: barchie's aesthetics in the time jump ✨

#Riverdale #Barchie https://t.co/56acwSGCl4",False,en,0,48,2021-02-28 00:54:30,1365827684505387009,0.0,1.0,0.0,0.0
"@reinhartsdetail @SotoSsntiago @Stephaniess8241 @RiverdaleBRNews Here is the link: enjoy 😊
https://t.co/KLQKnWZwWv https://t.co/U50BaEY9Oj",False,en,2,0,2021-02-27 23:55:37,1365812864578158594,0.0,0.758,0.242,0.4939
RT @EW: EW has an exclusive first look at the #Riverdale gang following the series' seven-year time jump.​ https://t.co/XXosBIssVJ,False,en,0,344,2021-02-27 23:37:31,1365808310415466498,0.0,0.923,0.077,0.128
Still adjusting to the time jump in #Riverdale with them all grown up. Betty looks so bad ass in the FBI uniform,False,en,1,0,2021-02-27 21:16:27,1365772809419567110,0.0,0.8,0.2,0.6124
"Riverdale Season 5 ""Reggie's Time Jump"" Featurette (HD)
#Riverdale #RiverdaleSeason5

https://t.co/C5eqiesL3H https://t.co/mDMX9iyiO2",False,en,0,0,2021-02-27 20:56:15,1365767726422241284,0.0,1.0,0.0,0.0
Charles Melton talks briefly about Reggie Mantle's trek seven years into the future in this behind the scenes look at #Riverdale season five. Watch new episodes Wednesdays on #TheCW @cw_riverdale https://t.co/CxNCqVxvnL https://t.co/jaTVFX1fuc,False,en,2,0,2021-02-27 19:55:03,1365752324136841223,0.0,1.0,0.0,0.0
"RT @CulturessFS: Cheryl Blossom has been pretty quiet in the post-time-jump #Riverdale era. This week, we got our first glimpse into what s…",False,en,0,1,2021-02-27 19:21:53,1365743979325702145,0.0,0.873,0.127,0.4939
"WATCH: Charles Melton talks Riverdale Time Jump! https://t.co/bwHJcpUSKC 

@_MELTON_ #barchie #riverdale #varchie https://t.co/bURJzzYKhF",False,en,2,0,2021-02-27 19:15:39,1365742409527738389,0.0,1.0,0.0,0.0
"@VanessaMorgan I have always loved Toni in Riverdale. But since the time jump I love her even more, she is not a woman to be messed with!  Its adorable that the baby bump Toni has was actually your real baby bump!",False,en,0,0,2021-02-27 19:05:34,1365739873991327752,0.05,0.704,0.246,0.8881
As a compromise my boyfriend made me watch Riverdale tho 😝 only the 7 year time jump episodes tho..,False,en,0,0,2021-02-27 18:41:12,1365733739024814083,0.0,1.0,0.0,0.0
Watch Riverdale Series Season 5 – “Reggie’s Time Jump” (HD) https://t.co/IZWfpMYhT4 https://t.co/l4zcNVV22V,False,en,0,0,2021-02-27 17:46:58,1365720093754327040,0.0,1.0,0.0,0.0
"Riverdale Season 5 ""Reggie's Time Jump"" Featurette (HD) https://t.co/ivsbRFfFoW",False,en,0,2,2021-02-27 17:19:02,1365713061483409412,0.0,1.0,0.0,0.0
"Since the start of #riverdale, I’ve always been team #varchie, yet now in the time jump I’m enjoying the recent batch of #barchie scenes. Am I rooting for someone else in the Archie Andrews love triangle? Find out on this week’s all new podcast! Out now: https://t.co/K8o3LI99d9 https://t.co/xsRnj1FTMt",False,en,7,0,2021-02-27 17:09:25,1365710643895169029,0.0,0.851,0.149,0.8356
Riverdale | Time Jump | Charles Melton | The CW https://t.co/feLjEUjxa3 via @YouTube,False,en,0,0,2021-02-27 17:04:16,1365709345590288388,0.0,1.0,0.0,0.0
"Dare I say it...since the time jump, Riverdale is getting better?",False,en,0,0,2021-02-27 16:35:27,1365702093064003584,0.0,0.756,0.244,0.4404
@socasuallykruel literally like now they did a time jump ugh. KJ Apa even compared working in Riverdale as being in jail LMAO I-,False,en,1,0,2021-02-27 14:41:18,1365673366275915780,0.097,0.657,0.247,0.6523
RT @bugheadaIe: we haven't even see adult bughead together really. i'm excited to see what their time jump relationship is like.,False,en,0,13,2021-02-27 14:31:04,1365670793846398977,0.0,0.786,0.214,0.6344
"RT @OfSunshineFlowr: ○○○○ Isabelle Elisa ○○○○

○ Riverdale OC
  ○ Daughter Of Alice &amp; FP
○ 70's Enthusiast
  ○ Model Turned FBI Agent
○ Pre…",False,en,0,11,2021-02-27 13:11:44,1365650825692016640,0.0,0.884,0.116,0.3612
RT @PopPrejudicePod: We’re doing a media round-up of our thoughts on all your faves!! Including the much anticipated and hilarious #Riverda…,False,en,0,1,2021-02-27 12:49:54,1365645333120827393,0.0,0.853,0.147,0.508
"We’re doing a media round-up of our thoughts on all your faves!! Including the much anticipated and hilarious #Riverdale time jump, and lots of #Zendaya :) Available on all streaming platforms in the link below https://t.co/ZGzrLuPEvT",False,en,1,1,2021-02-27 12:49:27,1365645220394786817,0.0,0.84,0.16,0.7418
"I'm giving yall early access because i think I'm queen 
https://t.co/O3j0hf7kc8",False,en,1,0,2021-02-27 12:37:08,1365642119877185537,0.0,0.789,0.211,0.34
