tweets,quote_status,language,favorite_count,retweet_count,time,id,cleaned_tweets,neg,neu,pos
"okay so if minerva is gonna be sticking around, i think she and cheryl are gonna get closer (maybe become friends(?)), they kiss, cheryl stops before it goes too far cuz she still loves toni in conclusion choni endgame confirmed",False,en,12,0,2021-02-26 16:45:15,1365342174330650630,"okay so if minerva is gonna be sticking around, i think she and cheryl are gonna get closer (maybe become friends(?)), they kiss, cheryl stops before it goes too far cuz she still loves toni in conclusion choni endgame confirmed",0.05,0.0,0.95
@WANDASVlSl0N choni spin off&gt;&gt;&gt;&gt;&gt;,False,en,0,0,2021-02-26 16:44:48,1365342060547563521, choni spin off&gt;&gt;&gt;&gt;&gt;,0.0,0.0,1.0
I will finish the edit I’m making of madelaine and so I don’t suffer for choni 🤸🏻‍♀️,False,en,2,0,2021-02-26 16:43:55,1365341837544869892,i will finish the edit i’m making of madelaine and so i don’t suffer for choni :woman cartwheeling light skin tone:,0.0,0.0,1.0
@robynchoni Dkdkdkd I swear this kiss better mean nothing or just add to the choni tension. If we don't get at least one choni kiss this season or them reunited im gonna riot,False,en,1,0,2021-02-26 16:43:51,1365341819802947589, dkdkdkd i swear this kiss better mean nothing or just add to the choni tension. if we don't get at least one choni kiss this season or them reunited im gonna riot,0.03125,0.0,0.96875
choni betta b endgame or i’ll riot,False,en,0,0,2021-02-26 16:43:22,1365341698197446662,choni betta b endgame or i’ll riot,0.2857142857142857,0.0,0.7142857142857143
it’s all fun and games until cheryl and minerva’s kiss is better than any other choni kiss 😹,False,en,4,0,2021-02-26 16:42:03,1365341366293827586,it’s all fun and games until cheryl and minerva’s kiss is better than any other choni kiss :cat with tears of joy:,0.0,0.0,1.0
guys guys choni will be endgame it’s okay https://t.co/T72DrqpjXD,False,en,0,0,2021-02-26 16:41:11,1365341151125860360,guys guys choni will be endgame it’s okay ,0.125,0.0,0.875
does this mean choni pining https://t.co/txaIrtRBYH,False,en,2,0,2021-02-26 16:40:54,1365341076702322693,does this mean choni pining ,0.0,0.0,1.0
cherylminerva midgame choni endgame sounds enjoyable to me 😌😚,False,en,23,2,2021-02-26 16:40:27,1365340965398077449,cherylminerva midgame choni endgame sounds enjoyable to me :relieved face::kissing face with closed eyes:,0.09090909090909091,0.0,0.9090909090909091
as much as i’m VERY VERY upset this is gonna be very interesting to watch and it’s gonna be fun to see bc we know choni are endgame,False,en,10,0,2021-02-26 16:40:26,1365340958792044546,as much as i’m very very upset this is gonna be very interesting to watch and it’s gonna be fun to see bc we know choni are endgame,0.03571428571428571,0.0,0.9642857142857143
@WANDASVlSl0N choni is endgame shush,False,en,0,0,2021-02-26 16:40:11,1365340899497148416, choni is endgame shush,0.25,0.0,0.75
this is a win for choni editors,False,en,6,0,2021-02-26 16:40:10,1365340892765315075,this is a win for choni editors,0.0,0.0,1.0
@santiagoswhore when choni isn’t endgame,False,en,0,0,2021-02-26 16:39:52,1365340818945568778, when choni isn’t endgame,0.25,0.0,0.75
hey i’m excited we’re getting choni drama but it’s gonna hurt 😪,False,en,0,0,2021-02-26 16:39:37,1365340753845620738,hey i’m excited we’re getting choni drama but it’s gonna hurt :sleepy face:,0.0,0.0,1.0
Could you imagine if madelaine said she’s locking lips with someone and never mentioned it’s not who we think so the entire tl would be going crazy over a Choni kiss,False,en,34,2,2021-02-26 16:38:37,1365340505098383361,could you imagine if madelaine said she’s locking lips with someone and never mentioned it’s not who we think so the entire tl would be going crazy over a choni kiss,0.0,0.0,1.0
@marspov @WANDASVlSl0N choni endgame so true😩,False,en,0,0,2021-02-26 16:37:19,1365340175619022859,  choni endgame so true:weary face:,0.3333333333333333,0.0,0.6666666666666666
I’m not mad though..  it secures choni endgame https://t.co/6EFpQ0ezx6,True,en,0,0,2021-02-26 16:36:58,1365340088482357249,i’m not mad though..  it secures choni endgame ,0.125,0.0,0.875
i’m all for choni angst and the build up of them being together but i think it’s the fact we know toni isn’t going to be in the show for so many episodes so it will take longer to get a choni reunion :/,False,en,74,3,2021-02-26 16:36:37,1365339998887829513,i’m all for choni angst and the build up of them being together but i think it’s the fact we know toni isn’t going to be in the show for so many episodes so it will take longer to get a choni reunion :/,0.0,0.0,1.0
@santiagoswhore @WANDASVlSl0N and choni😩,False,en,0,0,2021-02-26 16:35:48,1365339794214162436,  and choni:weary face:,0.0,0.0,1.0
"@Aestheticlils Ted said to ""treat Thabita well. So, the first thing that comes to mind is that it's with Jughead, but they almost certainly won't have anything. I thought at first that she would get in the way of choni.. Who knows, maybe, but there's also Minerva so idk",False,en,2,0,2021-02-26 16:35:26,1365339701914312707," ted said to ""treat thabita well. so, the first thing that comes to mind is that it's with jughead, but they almost certainly won't have anything. i thought at first that she would get in the way of choni.. who knows, maybe, but there's also minerva so idk",0.0,0.0,1.0
"I’m VERY ready for this Choni dance battle while Toni is VERY pregnant. This show goes there. Also, can we just say that they are having the best relationship arc? The angst, the pining, the misunderstanding.  #riverdale https://t.co/frodavEkOm",False,en,0,0,2021-02-26 16:35:16,1365339658733957126,"i’m very ready for this choni dance battle while toni is very pregnant. this show goes there. also, can we just say that they are having the best relationship arc? the angst, the pining, the misunderstanding.  riverdale ",0.0,0.0,1.0
@chonisblossom I’m seeing this snippet in chonis mentions and I’m here to say KEEP CALM &amp; CHONI on....if it’s w/ Minerva it’s doomed to fail/just to make Toni jealous....lol Cheryl is making fake paintings and Minerva is trying to rip her off &amp; buy them on the cheap...they’re playing eachother,False,en,0,0,2021-02-26 16:34:59,1365339587221073922, i’m seeing this snippet in chonis mentions and i’m here to say keep calm &amp; choni on....if it’s w/ minerva it’s doomed to fail/just to make toni jealous....lol cheryl is making fake paintings and minerva is trying to rip her off &amp; buy them on the cheap...they’re playing eachother,0.05084745762711865,0.2033898305084746,0.7457627118644068
@robynchoni I swear if choni aren't end game and we have no choni kiss this season ima riot,False,en,0,0,2021-02-26 16:34:52,1365339559731613702, i swear if choni aren't end game and we have no choni kiss this season ima riot,0.058823529411764705,0.0,0.9411764705882353
im not bothered because I know I have my choni endgame locked tight the angst this is gonna serve i’m gonna go CRAZY,False,en,2,0,2021-02-26 16:34:41,1365339513967403009,im not bothered because i know i have my choni endgame locked tight the angst this is gonna serve i’m gonna go crazy,0.043478260869565216,0.0,0.9565217391304348
can and will edit cheryl minerva but dont get it twisted choni supremacy ftw,False,en,2,0,2021-02-26 16:34:27,1365339453057888258,can and will edit cheryl minerva but dont get it twisted choni supremacy ftw,0.0,0.0,1.0
what if choni become enemies and then lovers again?,False,en,0,0,2021-02-26 16:33:51,1365339302872444938,what if choni become enemies and then lovers again?,0.1111111111111111,0.0,0.8888888888888888
no choni kiss until july… ras count your days https://t.co/FvQrqp9ZAS,False,en,0,0,2021-02-26 16:33:46,1365339283113000962,no choni kiss until july… ras count your days ,0.0,0.0,1.0
"whatever choni is endgame, captains mads and vanessa would never let them not be endgame",False,en,0,0,2021-02-26 16:33:04,1365339105232621573,"whatever choni is endgame, captains mads and vanessa would never let them not be endgame",0.2857142857142857,0.14285714285714285,0.5714285714285714
rip choni 😔💔,False,en,0,0,2021-02-26 16:33:02,1365339096487370756,rip choni :pensive face::broken heart:,0.0,0.0,1.0
"@blossom_choni @transjnpr @dykespeon What even happened in that fandom??? I read a lot of the books as a kid and liked them, but never interacted or saw anything from the fandom ever after that.",False,en,0,0,2021-02-26 16:32:53,1365339058898092036," choni   what even happened in that fandom??? i read a lot of the books as a kid and liked them, but never interacted or saw anything from the fandom ever after that.",0.03125,0.0,0.96875
@robynchoni I swear thry can't do this to choni. Choni are end game 😭,False,en,0,0,2021-02-26 16:32:40,1365339004678324227, i swear thry can't do this to choni. choni are end game :loudly crying face:,0.0,0.0,1.0
what’s the point of all the choni tension in the past few episodes if cheryl is gonna be locking lips with minerva 🥲,False,en,10,0,2021-02-26 16:32:23,1365338933043867651,what’s the point of all the choni tension in the past few episodes if cheryl is gonna be locking lips with minerva :smiling face with tear:,0.0,0.0,1.0
@chonibIossom @Barchiedaily Im sorry what??!!! But like... CHONI❤️,False,en,0,0,2021-02-26 16:31:34,1365338727422304258,  im sorry what??!!! but like... choni:red heart:,0.2,0.0,0.8
Choni now have to wait until July for our serve this is sickening,False,en,5,0,2021-02-26 16:31:05,1365338608610271233,choni now have to wait until july for our serve this is sickening,0.0,0.0,1.0
WAIT MADS SAID THIS??? I THOUGHT YOU WERE SUPPOSED TO BE THE CAPTAIN ON THE CHONI SHIP MAAM,False,en,58,2,2021-02-26 16:30:56,1365338568592359430,wait mads said this??? i thought you were supposed to be the captain on the choni ship maam,0.0,0.0,1.0
@cherylstopaaz No choni kiss in ALL the season 🥲,False,en,0,0,2021-02-26 16:30:06,1365338361603518467, no choni kiss in all the season :smiling face with tear:,0.0,0.0,1.0
RT @ruestopaz: we know choni is endgame come onnnnnn,False,en,0,1,2021-02-26 16:29:23,1365338179847487492,rt : we know choni is endgame come onnnnnn,0.125,0.0,0.875
we know choni is endgame come onnnnnn,False,en,3,1,2021-02-26 16:28:18,1365337908031455236,we know choni is endgame come onnnnnn,0.14285714285714285,0.0,0.8571428571428571
