tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,neg,neu,pos
no bc if someone edited bughead or varchie to wicked little town??? the SET UP,False,en,45,0,2021-02-20 19:23:43,1363207727200239617,"['bc', 'someone', 'edited', 'bughead', 'varchie', 'wicked', 'little', 'town', 'set']",no bc if someone edited bughead or varchie to wicked little town??? the set up,0.00,0.00,1.00
"Man, people are committed to this #Bughead / #Varchie vs. #Barchie stuff. Kinda makes me miss the #Bangel vs. #Spuffy wars of yore. When #Spuffy won, obvi.",False,en,3,0,2021-02-20 19:16:37,1363205937436102657,"['man', 'people', 'committed', 'bughead', 'varchie', 'vs', 'barchie', 'stuff', 'kinda', 'makes', 'miss', 'bangel', 'vs', 'spuffy', 'wars', 'yore', 'spuffy', 'obvi']","man, people are committed to this bughead / varchie vs. barchie stuff. kinda makes me miss the bangel vs. spuffy wars of yore. when spuffy won, obvi.",0.00,0.00,1.00
I’ll leave this here. #Varchie 🔥 https://t.co/qN9KVOA6fr,True,en,2,0,2021-02-20 19:14:27,1363205393002954756,"['leave', 'varchie']",i’ll leave this here. varchie :fire: ,0.00,0.00,1.00
@VarchiePolls Barchies aren’t worried about Varchie.. trust me. Bhs the issue in our eyes. Secondly if you can’t see that what I’m posting is just joking around about fictional ships like you.. then idk what to say 😭,False,en,1,0,2021-02-20 19:01:12,1363202059118370816,"['barchies', 'worried', 'varchie', 'trust', 'bhs', 'issue', 'eyes', 'secondly', 'see', 'posting', 'joking', 'around', 'fictional', 'ships', 'like', 'idk', 'say']", barchies aren’t worried about varchie.. trust me. bhs the issue in our eyes. secondly if you can’t see that what i’m posting is just joking around about fictional ships like you.. then idk what to say :loudly crying face:,0.03,0.00,0.97
RT @hereforvarchie: @archsronnie If I would have wanted to watch a porno I know where to find it  🙈🤣 this was kinda icky I gotta tell you f…,False,en,0,1,2021-02-20 19:00:39,1363201920433860609,"['would', 'wanted', 'watch', 'porno', 'know', 'find', 'kinda', 'icky', 'gotta', 'tell', 'f']",rt :  if i would have wanted to watch a porno i know where to find it  :see-no-evil monkey::rolling on the floor laughing: this was kinda icky i gotta tell you f…,0.00,0.00,1.00
"@brxttanaa Please , not make sense , you all are so worried for varchie ... always commenting ... 😂😂",False,en,0,0,2021-02-20 18:58:39,1363201416878301184,"['please', 'make', 'sense', 'worried', 'varchie', 'always', 'commenting']"," please , not make sense , you all are so worried for varchie ... always commenting ... :face with tears of joy::face with tears of joy:",0.00,0.09,0.91
"RT @BUGGIEDALE: ""varchie's all about sex""
""bughead always miss lips""
KARMA IS A BITCH PUMPKINS",False,en,0,77,2021-02-20 18:55:26,1363200605301407749,"['varchie', 'sex', 'bughead', 'always', 'miss', 'lips', 'karma', 'bitch', 'pumpkins']","rt : ""varchie's all about sex""
""bughead always miss lips""
karma is a bitch pumpkins",0.00,0.00,1.00
"@archsronnie If I would have wanted to watch a porno I know where to find it  🙈🤣 this was kinda icky I gotta tell you from that pizza very p*rn like dialogue to 🚿 I don't want this for Varchie EVER! I want sex scenes sure, but I don't want tacky ones looking like low budget p*rnos!!",False,en,7,1,2021-02-20 18:50:32,1363199373484711945,"['would', 'wanted', 'watch', 'porno', 'know', 'find', 'kinda', 'icky', 'gotta', 'tell', 'pizza', 'p', 'rn', 'like', 'dialogue', 'want', 'varchie', 'ever', 'want', 'sex', 'scenes', 'sure', 'want', 'tacky', 'ones', 'looking', 'like', 'low', 'budget', 'p', 'rnos']"," if i would have wanted to watch a porno i know where to find it  :see-no-evil monkey::rolling on the floor laughing: this was kinda icky i gotta tell you from that pizza very p*rn like dialogue to :shower: i don't want this for varchie ever! i want sex scenes sure, but i don't want tacky ones looking like low budget p*rnos!!",0.04,0.00,0.96
RT @VarchiePolls: “Addictive” #varchie ..... more than 16K ! https://t.co/HekPTGTGxS,True,en,0,2,2021-02-20 18:49:35,1363199136502276105,"['addictive', 'varchie', '16k']",rt : “addictive” varchie ..... more than 16k ! ,0.00,0.12,0.88
“Addictive” #varchie ..... more than 16K ! https://t.co/NW4f5eT3V2 https://t.co/HekPTGTGxS,True,en,25,2,2021-02-20 18:43:11,1363197526548094978,"['addictive', 'varchie', '16k']",“addictive” varchie ..... more than 16k !  ,0.00,0.14,0.86
